x,y
689,1237
688,1236
673,1236
672,1235
661,1235
660,1234
652,1234
651,1233
644,1233
643,1232
637,1232
636,1231
631,1231
630,1230
625,1230
624,1229
620,1229
619,1228
615,1228
614,1227
610,1227
609,1226
606,1226
605,1225
601,1225
600,1224
597,1224
596,1223
593,1223
592,1222
589,1222
588,1221
585,1221
584,1220
582,1220
581,1219
578,1219
577,1218
575,1218
574,1217
572,1217
571,1216
569,1216
568,1215
565,1215
564,1214
562,1214
561,1213
559,1213
558,1212
556,1212
555,1211
553,1211
552,1210
550,1210
549,1209
548,1209
547,1208
545,1208
544,1207
542,1207
541,1206
540,1206
539,1205
537,1205
536,1204
534,1204
533,1203
532,1203
531,1202
530,1202
529,1201
527,1201
526,1200
525,1200
524,1199
523,1199
522,1198
520,1198
519,1197
518,1197
517,1196
516,1196
515,1195
513,1195
512,1194
511,1194
510,1193
509,1193
508,1192
507,1192
506,1191
504,1191
503,1190
502,1190
501,1189
500,1189
499,1188
498,1188
497,1187
496,1187
495,1186
494,1186
493,1185
492,1185
490,1183
489,1183
488,1182
487,1182
486,1181
485,1181
484,1180
483,1180
482,1179
481,1179
480,1178
479,1178
477,1176
476,1176
475,1175
474,1175
473,1174
472,1174
470,1172
469,1172
468,1171
467,1171
465,1169
464,1169
463,1168
462,1168
460,1166
459,1166
458,1165
457,1165
455,1163
454,1163
452,1161
451,1161
449,1159
448,1159
446,1157
445,1157
443,1155
442,1155
440,1153
439,1153
436,1150
435,1150
433,1148
432,1148
429,1145
428,1145
425,1142
424,1142
421,1139
420,1139
416,1135
415,1135
411,1131
410,1131
405,1126
404,1126
398,1120
397,1120
387,1110
386,1110
366,1090
366,1089
357,1080
357,1079
349,1071
349,1070
344,1065
344,1064
341,1061
341,1060
337,1056
337,1055
334,1052
334,1051
331,1048
331,1047
328,1044
328,1043
326,1041
326,1040
323,1037
323,1036
321,1034
321,1033
319,1031
319,1030
317,1028
317,1027
315,1025
315,1024
313,1022
313,1021
311,1019
311,1018
309,1016
309,1015
308,1014
308,1013
306,1011
306,1010
305,1009
305,1008
304,1007
304,1006
302,1004
302,1003
301,1002
301,1001
300,1000
300,999
298,997
298,996
297,995
297,994
296,993
296,992
295,991
295,990
293,988
293,987
292,986
292,985
291,984
291,983
290,982
290,981
289,980
289,979
288,978
288,976
287,975
287,974
285,972
285,970
283,968
283,967
282,966
282,964
281,963
281,962
280,961
280,959
279,958
279,957
278,956
278,955
277,954
277,952
275,950
275,948
274,947
274,945
273,944
273,943
272,942
272,940
271,939
271,938
270,937
270,935
269,934
269,932
268,931
268,930
267,929
267,927
266,926
266,924
265,923
265,921
264,920
264,918
263,917
263,915
262,914
262,912
261,911
261,909
260,908
260,906
259,905
259,903
258,902
258,899
257,898
257,896
256,895
256,892
255,891
255,888
254,887
254,884
253,883
253,881
252,880
252,876
251,875
251,873
250,872
250,868
249,867
249,863
248,862
248,858
247,857
247,852
246,851
246,847
245,846
245,841
244,840
244,834
243,833
243,826
242,825
242,817
241,816
241,808
240,807
240,793
239,792
240,791
240,790
239,789
239,746
240,745
240,730
241,729
241,720
242,719
242,710
243,709
243,703
244,702
244,696
245,695
245,690
246,689
246,684
247,683
247,679
248,678
248,674
249,673
249,669
250,668
250,665
251,664
251,660
252,659
252,657
253,656
253,653
254,652
254,649
255,648
255,645
256,644
256,641
257,640
257,638
258,637
258,634
259,633
259,631
260,630
260,628
261,627
261,625
262,624
262,622
263,621
263,619
264,618
264,616
265,615
265,613
266,612
266,610
267,609
267,607
268,606
268,604
269,603
269,602
270,601
270,599
271,598
271,597
272,596
272,594
273,593
273,592
274,591
274,589
275,588
275,587
276,586
276,584
277,583
277,582
278,581
278,580
279,579
279,578
280,577
280,575
281,574
281,573
282,572
282,571
283,570
283,569
284,568
284,566
285,565
285,564
286,563
286,562
288,560
288,558
289,557
289,556
290,555
290,554
291,553
291,552
292,551
292,550
293,549
293,548
294,547
294,546
296,544
296,543
297,542
297,541
298,540
298,539
299,538
299,537
301,535
301,534
302,533
302,532
303,531
303,530
305,528
305,527
306,526
306,525
308,523
308,522
310,520
310,519
311,518
311,517
313,515
313,514
315,512
315,511
317,509
317,508
319,506
319,505
321,503
321,502
323,500
323,499
325,497
325,496
328,493
328,492
330,490
330,489
333,486
333,485
337,481
337,480
341,476
341,475
344,472
344,471
349,466
349,465
356,458
356,457
366,447
366,446
387,425
388,425
398,415
399,415
404,410
405,410
411,404
410,403
411,404
412,404
416,400
417,400
420,397
421,397
424,394
425,394
428,391
429,391
432,388
433,388
435,386
436,386
439,383
440,383
442,381
443,381
445,379
446,379
448,377
449,377
451,375
452,375
454,373
455,373
456,372
457,372
459,370
460,370
462,368
463,368
465,366
466,366
467,365
468,365
469,364
470,364
472,362
473,362
474,361
475,361
477,359
478,359
479,358
480,358
481,357
482,357
483,356
484,356
485,355
486,355
487,354
488,354
490,352
491,352
492,351
493,351
494,350
495,350
496,349
497,349
498,348
499,348
500,347
501,347
502,346
503,346
504,345
505,345
506,344
508,344
509,343
510,343
511,342
512,342
513,341
514,341
515,340
517,340
518,339
519,339
520,338
521,338
522,337
524,337
525,336
526,336
527,335
529,335
530,334
531,334
532,333
533,333
534,332
536,332
537,331
539,331
540,330
541,330
542,329
544,329
545,328
546,328
547,327
549,327
550,326
552,326
553,325
555,325
556,324
558,324
559,323
561,323
562,322
564,322
565,321
567,321
568,320
570,320
571,319
574,319
575,318
577,318
578,317
580,317
581,316
584,316
585,315
588,315
589,314
592,314
593,313
596,313
597,312
600,312
601,311
604,311
605,310
609,310
610,309
614,309
615,308
619,308
620,307
624,307
625,306
630,306
631,305
636,305
637,304
643,304
644,303
651,303
652,302
660,302
661,301
671,301
672,300
687,300
688,299
726,299
727,300
743,300
744,301
754,301
755,302
763,302
764,303
771,303
772,304
778,304
779,305
784,305
785,306
790,306
791,307
795,307
796,308
800,308
801,309
805,309
806,310
810,310
811,311
814,311
815,312
818,312
819,313
822,313
823,314
826,314
827,315
830,315
831,316
834,316
835,317
837,317
838,318
840,318
841,319
844,319
845,320
847,320
848,321
850,321
851,322
853,322
854,323
857,323
858,324
859,324
860,325
862,325
863,326
865,326
866,327
868,327
869,328
871,328
872,329
873,329
874,330
876,330
877,331
878,331
879,332
881,332
882,333
883,333
884,334
886,334
887,335
888,335
889,336
890,336
891,337
893,337
894,338
895,338
896,339
897,339
898,340
900,340
901,341
902,341
903,342
904,342
905,343
907,343
908,344
909,344
911,346
913,346
914,347
915,347
916,348
917,348
918,349
919,349
920,350
921,350
922,351
923,351
924,352
925,352
926,353
927,353
929,355
930,355
931,356
932,356
933,357
934,357
935,358
936,358
937,359
938,359
940,361
941,361
942,362
943,362
944,363
945,363
947,365
948,365
949,366
950,366
952,368
953,368
954,369
955,369
957,371
958,371
960,373
961,373
962,374
963,374
965,376
966,376
969,379
970,379
971,380
972,380
975,383
976,383
978,385
979,385
982,388
983,388
985,390
986,390
989,393
990,393
994,397
995,397
998,400
999,400
1003,404
1004,404
1008,408
1009,408
1015,414
1016,414
1025,423
1026,423
1052,449
1052,450
1061,459
1061,460
1067,466
1067,467
1071,471
1071,472
1075,476
1075,477
1079,481
1079,482
1082,485
1082,486
1085,489
1085,490
1088,493
1088,494
1090,496
1090,497
1093,500
1093,501
1095,503
1095,504
1097,506
1097,507
1099,509
1099,510
1101,512
1101,513
1102,514
1102,515
1104,517
1104,518
1106,520
1106,521
1107,522
1107,523
1109,525
1109,526
1111,528
1111,529
1112,530
1112,531
1113,532
1113,533
1115,535
1115,536
1116,537
1116,538
1117,539
1117,540
1119,542
1119,543
1120,544
1120,545
1121,546
1121,547
1122,548
1122,549
1123,550
1123,551
1124,552
1124,553
1125,554
1125,555
1126,556
1126,557
1127,558
1127,559
1128,560
1128,561
1129,562
1129,563
1130,564
1130,565
1131,566
1131,567
1132,568
1132,570
1133,571
1133,572
1134,573
1134,574
1135,575
1135,576
1136,577
1136,579
1138,581
1138,583
1139,584
1139,585
1140,586
1140,588
1141,589
1141,590
1142,591
1142,593
1143,594
1143,595
1144,596
1144,598
1145,599
1145,601
1146,602
1146,603
1147,604
1147,606
1148,607
1148,609
1149,610
1149,611
1150,612
1150,614
1151,615
1151,617
1152,618
1152,620
1153,621
1153,623
1154,624
1154,626
1155,627
1155,630
1156,631
1156,633
1157,634
1157,636
1158,637
1158,640
1159,641
1159,643
1160,644
1160,647
1161,648
1161,651
1162,652
1162,655
1163,656
1163,659
1164,660
1164,663
1165,664
1165,667
1166,668
1166,672
1167,673
1167,677
1168,678
1168,683
1169,684
1169,688
1170,689
1170,694
1171,695
1171,701
1172,702
1172,708
1173,709
1173,717
1174,718
1174,727
1175,728
1175,740
1176,741
1176,805
1175,806
1175,815
1174,816
1174,818
1173,819
1173,827
1172,828
1172,834
1171,835
1171,841
1170,842
1170,847
1169,848
1169,853
1168,854
1168,858
1167,859
1167,863
1166,864
1166,867
1165,868
1165,872
1164,873
1164,876
1163,877
1163,880
1162,881
1162,884
1161,885
1161,888
1160,889
1160,892
1159,893
1159,895
1158,896
1158,899
1157,900
1157,902
1156,903
1156,905
1155,906
1155,909
1154,910
1154,912
1153,913
1153,915
1152,916
1152,918
1151,919
1151,921
1150,922
1150,924
1149,925
1149,926
1148,927
1148,929
1147,930
1147,932
1146,933
1146,935
1145,936
1145,937
1144,938
1144,940
1143,941
1143,942
1142,943
1142,945
1141,946
1141,947
1140,948
1140,950
1139,951
1139,952
1138,953
1138,955
1136,957
1136,959
1135,960
1135,961
1134,962
1134,963
1133,964
1133,966
1132,967
1132,968
1131,969
1131,970
1130,971
1130,972
1129,973
1129,974
1128,975
1128,976
1127,977
1127,978
1126,979
1126,980
1125,981
1125,982
1124,983
1124,984
1123,985
1123,986
1122,987
1122,988
1121,989
1121,990
1120,991
1120,992
1118,994
1118,995
1117,996
1117,997
1116,998
1116,999
1115,1000
1115,1001
1113,1003
1113,1004
1112,1005
1112,1006
1110,1008
1110,1009
1109,1010
1109,1011
1107,1013
1107,1014
1106,1015
1106,1016
1104,1018
1104,1019
1102,1021
1102,1022
1101,1023
1101,1024
1099,1026
1099,1027
1097,1029
1097,1030
1095,1032
1095,1033
1093,1035
1093,1036
1090,1039
1090,1040
1088,1042
1088,1043
1085,1046
1085,1047
1082,1050
1082,1051
1079,1054
1079,1055
1075,1059
1075,1060
1071,1064
1071,1065
1066,1070
1066,1071
1061,1076
1061,1077
1051,1087
1051,1088
1027,1112
1026,1112
1017,1121
1016,1121
1010,1127
1009,1127
1005,1131
1004,1131
999,1136
998,1136
995,1139
994,1139
990,1143
989,1143
986,1146
985,1146
983,1148
982,1148
979,1151
978,1151
976,1153
975,1153
973,1155
972,1155
970,1157
969,1157
967,1159
966,1159
964,1161
963,1161
961,1163
960,1163
958,1165
957,1165
956,1166
955,1166
953,1168
952,1168
950,1170
949,1170
948,1171
947,1171
946,1172
945,1172
943,1174
942,1174
941,1175
940,1175
938,1177
937,1177
936,1178
935,1178
934,1179
933,1179
932,1180
931,1180
929,1182
928,1182
927,1183
926,1183
925,1184
923,1184
921,1186
920,1186
919,1187
918,1187
917,1188
916,1188
915,1189
913,1189
911,1191
909,1191
908,1192
907,1192
