x,y
680,1239
681,1239
682,1239
682,1238
682,1238
683,1237
682,1236
680,1237
680,1236
679,1236
678,1236
679,1235
678,1236
678,1235
674,1237
673,1237
669,1234
668,1234
664,1232
662,1232
659,1231
658,1231
655,1232
654,1232
649,1233
648,1232
645,1233
643,1233
640,1232
639,1231
637,1230
637,1230
633,1229
632,1229
630,1226
630,1226
626,1226
625,1227
623,1226
621,1225
621,1224
619,1224
616,1224
615,1224
614,1223
612,1222
610,1222
609,1221
607,1222
606,1222
604,1222
603,1221
601,1221
600,1221
597,1222
596,1223
595,1222
594,1223
591,1223
590,1223
588,1222
587,1223
586,1223
585,1223
583,1222
581,1221
580,1220
579,1220
579,1219
577,1217
577,1216
576,1216
574,1214
573,1214
572,1214
571,1213
570,1212
569,1211
567,1211
566,1210
565,1210
564,1211
562,1211
562,1211
560,1210
558,1210
557,1209
557,1208
555,1207
554,1207
553,1206
552,1207
551,1206
549,1206
548,1206
547,1206
546,1206
545,1206
544,1206
542,1206
542,1206
540,1205
539,1206
538,1205
537,1204
535,1203
534,1202
533,1201
532,1201
531,1199
531,1199
529,1198
529,1198
528,1197
526,1198
526,1196
524,1197
521,1196
520,1197
519,1196
518,1197
516,1196
515,1195
513,1195
513,1195
511,1193
511,1193
509,1191
508,1190
507,1190
506,1190
504,1187
503,1187
501,1189
499,1189
498,1188
497,1187
494,1186
493,1186
490,1186
488,1186
487,1185
485,1184
484,1182
483,1181
479,1182
479,1182
475,1179
474,1179
471,1179
470,1178
467,1175
466,1175
463,1172
462,1171
460,1169
459,1168
455,1164
454,1164
449,1162
448,1162
442,1158
442,1158
434,1152
434,1151
423,1143
423,1141
395,1129
395,1127
385,1121
383,1120
376,1111
376,1111
371,1104
371,1105
369,1101
368,1101
363,1095
363,1095
361,1093
360,1092
356,1090
355,1088
353,1086
351,1085
349,1083
348,1083
347,1079
347,1078
345,1077
346,1075
345,1073
344,1072
342,1070
341,1068
340,1067
339,1066
338,1064
337,1064
337,1060
336,1060
334,1057
335,1056
333,1056
332,1055
330,1053
329,1052
329,1051
329,1050
327,1050
327,1048
325,1047
324,1046
323,1045
322,1045
322,1044
320,1043
318,1041
318,1040
317,1038
316,1037
316,1037
316,1037
315,1036
314,1035
313,1032
313,1031
312,1029
311,1027
311,1027
310,1025
310,1024
309,1023
309,1022
307,1021
308,1021
307,1020
307,1020
306,1019
305,1017
304,1015
303,1013
302,1011
302,1009
300,1008
300,1006
299,1005
298,1005
297,1003
296,1002
295,1002
295,1000
294,999
293,997
293,997
293,995
292,994
291,992
290,990
289,989
289,988
289,985
288,983
288,983
