x,y
679,1240
679,1239
680,1239
680,1238
670,1231
669,1232
661,1233
660,1234
653,1236
651,1236
646,1231
645,1231
640,1230
639,1231
634,1228
633,1229
629,1229
628,1230
624,1230
623,1230
619,1229
618,1229
614,1229
612,1229
609,1229
608,1229
605,1229
604,1227
601,1227
600,1226
598,1224
595,1226
593,1225
591,1226
590,1225
589,1223
587,1222
586,1221
584,1221
582,1221
581,1219
579,1218
578,1217
577,1217
574,1215
573,1215
571,1213
570,1214
568,1214
567,1212
565,1214
564,1215
561,1215
560,1214
558,1213
557,1213
556,1212
555,1212
554,1211
552,1211
549,1212
549,1211
547,1210
547,1210
546,1208
545,1206
542,1206
542,1206
539,1207
539,1207
537,1207
536,1207
533,1206
532,1205
532,1205
532,1204
531,1204
530,1203
528,1200
528,1199
527,1197
526,1195
525,1194
524,1194
522,1194
521,1194
520,1194
518,1193
518,1193
516,1193
516,1192
515,1191
513,1191
512,1191
511,1191
510,1191
509,1192
508,1191
506,1191
505,1191
504,1192
502,1192
501,1191
500,1191
499,1190
497,1188
496,1187
495,1187
494,1187
492,1187
491,1187
491,1186
490,1186
490,1184
488,1184
487,1184
486,1183
484,1182
484,1181
483,1179
481,1180
480,1180
478,1180
476,1179
475,1179
474,1178
474,1177
468,1177
469,1177
467,1175
468,1173
466,1172
466,1172
465,1171
464,1171
461,1169
462,1167
460,1166
459,1165
457,1164
456,1164
453,1162
453,1161
450,1161
450,1159
448,1158
447,1157
444,1154
444,1152
440,1152
440,1152
435,1152
435,1150
432,1148
432,1147
429,1143
428,1143
424,1139
423,1139
418,1135
417,1135
414,1127
413,1127
406,1125
405,1125
393,1117
392,1117
372,1097
372,1096
361,1088
361,1087
355,1077
355,1077
347,1074
347,1073
346,1069
346,1067
342,1063
341,1063
338,1060
338,1059
336,1055
336,1055
334,1051
334,1050
333,1047
333,1046
330,1043
329,1043
327,1041
327,1040
325,1038
325,1037
322,1036
320,1036
319,1033
318,1032
319,1029
318,1028
317,1026
316,1025
314,1024
313,1023
312,1022
311,1021
308,1020
308,1019
310,1017
310,1016
309,1014
308,1014
306,1012
306,1011
307,1009
306,1008
307,1006
305,1007
302,1005
301,1005
300,1003
300,1003
300,1001
299,1000
297,1000
297,999
299,995
299,994
297,994
294,994
295,992
293,992
291,991
291,990
294,988
296,985
295,984
294,983
293,981
295,979
293,977
292,976
290,973
290,972
288,972
287,971
284,972
282,971
280,970
280,968
280,967
280,965
279,964
279,964
279,963
279,961
277,959
274,957
273,956
273,954
273,953
274,952
273,951
273,949
274,948
272,947
270,946
269,944
270,942
270,941
270,940
270,939
270,937
268,936
269,934
269,933
270,931
269,929
269,928
266,927
266,925
265,923
265,922
265,920
265,919
263,918
263,917
261,915
261,914
258,912
258,911
258,908
257,906
258,905
258,904
256,901
255,900
256,897
256,896
253,892
252,891
254,890
253,889
253,885
252,883
251,882
252,881
251,876
250,876
247,872
247,871
246,867
247,866
249,861
248,860
250,855
249,854
246,850
245,849
244,843
244,842
245,834
245,834
242,826
243,825
241,817
240,816
242,802
241,800
241,800
244,798
244,797
240,755
239,754
240,739
241,738
237,728
239,728
240,719
242,718
243,712
242,711
244,704
244,704
245,699
246,698
245,693
246,692
248,688
247,687
246,683
246,682
248,678
249,677
250,674
250,673
252,669
251,668
250,666
250,665
252,662
253,661
253,658
252,657
252,653
253,652
253,650
254,648
254,647
255,645
256,643
256,642
258,640
261,639
260,637
260,636
258,634
258,633
258,630
259,629
259,627
259,626
259,624
259,623
262,622
261,620
262,619
262,616
264,616
265,614
266,613
267,612
267,611
268,610
271,608
271,607
272,606
272,605
271,603
270,602
270,601
270,600
273,598
273,597
274,596
274,595
272,592
272,591
272,590
273,589
273,588
274,587
275,587
277,585
276,583
277,582
277,581
276,580
276,579
277,578
277,576
278,575
279,574
279,573
280,572
279,570
280,569
283,568
283,566
284,565
284,564
285,563
286,562
286,561
287,561
287,559
287,558
287,557
288,556
288,554
288,553
289,551
290,551
293,550
290,547
290,546
291,546
292,545
293,544
294,541
295,541
296,540
296,540
297,539
297,536
299,536
301,535
301,534
301,533
303,531
303,530
305,528
305,527
306,526
306,525
307,523
308,522
309,520
309,518
309,514
310,514
311,512
314,513
315,510
315,509
315,505
315,505
318,504
319,503
323,501
323,501
325,498
326,497
327,494
328,493
331,489
332,488
334,482
334,481
336,478
337,478
343,473
344,473
350,465
351,464
358,453
360,453
380,431
380,431
395,424
396,424
400,419
402,418
404,411
404,410
404,409
404,409
407,404
408,403
411,401
413,403
416,399
417,399
419,394
420,395
422,391
424,393
426,391
428,391
432,389
432,388
434,386
435,386
438,386
439,386
441,384
439,380
443,380
445,382
447,379
448,379
449,378
449,377
450,375
451,374
453,372
454,371
457,372
458,371
459,371
460,371
461,369
461,369
465,369
466,369
466,367
467,367
469,365
469,363
471,363
471,363
472,362
474,360
475,360
475,360
476,360
478,360
479,360
481,358
483,358
483,357
484,357
485,357
486,356
488,356
489,356
489,355
489,353
491,351
492,353
493,353
495,352
495,351
496,350
497,351
499,350
500,349
502,350
502,349
502,347
503,346
503,342
504,342
505,342
507,341
508,341
509,341
511,342
512,342
515,343
516,342
518,341
517,341
518,340
520,339
522,340
522,339
525,338
525,339
526,338
527,336
528,336
529,332
530,331
531,329
532,329
534,329
535,329
536,329
537,329
539,327
540,324
542,324
543,324
545,327
547,328
548,327
549,326
551,325
552,323
554,322
555,323
557,322
558,322
560,323
562,323
565,322
565,321
568,323
571,322
570,320
573,321
575,319
576,319
578,318
579,316
582,315
583,315
586,314
588,315
590,315
592,315
594,314
595,313
600,314
602,313
605,312
606,312
609,311
610,306
614,307
615,307
620,307
622,309
628,310
629,310
633,304
634,304
641,300
642,300
650,301
651,301
661,301
662,301
677,298
678,299
717,297
717,297
733,300
734,300
745,301
746,301
753,303
754,303
761,300
763,301
768,301
769,302
774,303
775,304
781,301
783,302
785,304
787,305
790,309
791,310
795,310
796,311
801,313
802,314
805,314
805,314
808,312
809,312
812,311
813,310
816,310
817,311
820,315
821,314
824,314
825,315
827,315
828,317
831,318
831,319
834,318
835,319
837,318
838,318
840,319
841,318
843,320
845,319
847,320
848,320
850,320
851,321
852,322
854,322
856,323
856,323
858,326
859,327
861,327
863,326
863,326
864,327
866,327
868,328
869,327
869,328
871,327
873,328
873,330
876,328
877,329
878,330
879,331
880,331
881,331
882,332
884,331
885,332
886,333
887,334
888,334
889,334
890,335
892,336
892,337
894,338
894,338
895,340
897,341
898,342
899,342
902,341
903,342
904,343
905,345
907,347
907,345
908,345
909,346
911,347
911,347
912,348
913,349
914,348
916,348
916,349
917,351
920,352
921,351
921,351
923,352
924,352
924,353
926,352
927,352
928,353
928,354
932,354
933,355
934,356
935,356
936,357
937,356
939,359
940,359
940,360
942,360
945,361
945,362
946,362
947,362
950,363
950,365
953,366
953,366
956,366
956,366
957,369
959,368
963,372
965,370
